optimizer,lr,batch_size,max_iterations,max_epochs,hidden_size_list,activation,weight_init_std,weight_decay_lambda,use_batchnorm,dropout_ration,final_loss,final_acc
Adam,0.001,128,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.0,0.47301996711443983,0.83
Adam,0.001,128,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.3,0.706943877508653,0.755
Adam,0.001,128,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.0,0.4831067389425361,0.821
Adam,0.001,128,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.3,0.7423610016030983,0.757
Adam,0.001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.0,0.4830131456450849,0.82
Adam,0.001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.3,0.9310557533749084,0.65
Adam,0.001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.0,0.5392572614788167,0.808
Adam,0.001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.3,0.9485682924230459,0.668
Adam,0.001,256,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.0,0.49316236658730295,0.846
Adam,0.001,256,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.3,0.641941274586366,0.789
Adam,0.001,256,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.0,0.5243544956939007,0.844
Adam,0.001,256,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.3,0.6455255583607868,0.798
Adam,0.001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.0,0.5003074014790911,0.844
Adam,0.001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.3,0.7720371901087176,0.7
Adam,0.001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.0,0.5155677992438044,0.84
Adam,0.001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.3,0.8002711487266404,0.695
Adam,0.0001,128,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.0,0.8889974166967731,0.734
Adam,0.0001,128,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.3,1.7063462924527717,0.509
Adam,0.0001,128,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.0,1.0894293200217002,0.7
Adam,0.0001,128,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.3,1.7556148155057427,0.599
Adam,0.0001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.0,0.8599020254541826,0.719
Adam,0.0001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.3,2.1303313720999286,0.272
Adam,0.0001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.0,0.8899554410195399,0.74
Adam,0.0001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.3,2.1795850377341326,0.316
Adam,0.0001,256,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.0,0.888355891980646,0.737
Adam,0.0001,256,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.3,1.5476178667822085,0.637
Adam,0.0001,256,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.0,0.8858962856452721,0.72
Adam,0.0001,256,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.3,1.62493009796958,0.641
Adam,0.0001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.0,0.8138610478758642,0.737
Adam,0.0001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.3,1.9614498070089685,0.404
Adam,0.0001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.0,0.8050346094296547,0.744
Adam,0.0001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.3,1.9382284866572186,0.353
