optimizer,lr,batch_size,max_iterations,max_epochs,hidden_size_list,activation,weight_init_std,weight_decay_lambda,use_batchnorm,dropout_ration,final_loss,final_acc
Adam,0.001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.0,0.4907667888560014,0.843
Adam,0.001,256,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.0,0.4929043358097086,0.841
Adam,0.001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.0,0.5227468232513701,0.84
Adam,0.001,256,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.0,0.5141509686212404,0.83
Adam,0.001,128,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.0,0.4895334736082952,0.829
Adam,0.001,128,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.0,0.5644263845330308,0.814
Adam,0.001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.0,0.4961118366150538,0.812
Adam,0.001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.0,0.5287071914232535,0.81
Adam,0.001,256,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.3,0.6786718946510775,0.78
Adam,0.001,128,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.3,0.7155966452821695,0.779
Adam,0.001,128,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.3,0.762968253352393,0.767
Adam,0.0001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.0,0.8262641269059611,0.763
Adam,0.001,256,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.3,0.6501386336501842,0.759
Adam,0.0001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.0,0.7583971753066594,0.756
Adam,0.0001,256,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.0,0.8590756239718118,0.738
Adam,0.0001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.0,0.9150525249702272,0.736
Adam,0.0001,256,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.0,0.8624706576402279,0.732
Adam,0.0001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.0,0.9346716146887306,0.728
Adam,0.0001,128,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.0,1.078919509426755,0.722
Adam,0.0001,128,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.0,0.9885024230318584,0.703
Adam,0.001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.3,0.8233035117477712,0.683
Adam,0.001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.3,0.8093072479961323,0.661
Adam,0.001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.3,0.9006381702987434,0.648
Adam,0.001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.3,1.0252985309176528,0.632
Adam,0.0001,256,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.3,1.515412816181072,0.62
Adam,0.0001,256,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.3,1.6151835599826656,0.605
Adam,0.0001,128,200,200,"[64, 64, 64]",relu,relu,0.0,False,0.3,1.6130661934022168,0.583
Adam,0.0001,128,200,200,"[64, 64, 64]",relu,relu,0.0001,False,0.3,1.9339392272010816,0.528
Adam,0.0001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.3,2.1948741458506342,0.425
Adam,0.0001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.3,1.7457909074101483,0.42
Adam,0.0001,256,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0001,False,0.3,2.044047128599579,0.39
Adam,0.0001,128,200,200,"[64, 64, 64, 64, 64]",relu,relu,0.0,False,0.3,2.142821640564205,0.301
